"label","run_id","fill","cost","concurrency","buy_sol","n_fired","n_closed","n_open","win_rate","total_pnl_sol","expectancy_sol","median_pnl_pct","mean_pnl_pct","p90_pnl_pct","worst_pnl_pct","profit_factor","median_hold_s","avg_hold_s","n_exit_metrics","n_exit_stop_loss","n_exit_dead","elapsed_s","since","until"
"S7 bank 50% @ +15 WORST fill","16defef9-6abb-4496-8f24-73495f29d19c","worst","pumpfun_impact","4","0.3","218","218","0","0.5321","-2.7640","-0.01268","1.104","-4.226","24.636","-101.400","0.6715","42.0","48.70","218","0","0","10","2026-07-22T00:00:00Z","2026-08-09T00:00:00Z"
"U0 control (gross60 >= 45)","dae97e1d-7e2f-4066-bc00-a47ff49c5434","first","pumpfun_impact","4","0.3","127","127","0","0.4803","-0.9128","-0.00719","-0.157","-2.396","21.736","-101.400","0.8064","33.0","42.02","127","0","0","20.2","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U0 control (gross60 >= 45)","1a7d95ff-bfc3-4f90-9b99-0c23a730b006","first","pumpfun_impact","4","0.3","127","127","0","0.4803","-0.9128","-0.00719","-0.157","-2.396","21.736","-101.400","0.8064","33.0","42.02","127","0","0","20.2","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U1 add uw60 >= 20","809fb149-1534-4f91-9e43-687c0e5d7d83","first","pumpfun_impact","4","0.3","127","127","0","0.4803","-0.9128","-0.00719","-0.157","-2.396","21.736","-101.400","0.8064","33.0","42.02","127","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U2 add uw60 >= 30","cafd8d91-ac2c-48ff-a660-f7c83a47ce6f","first","pumpfun_impact","4","0.3","127","127","0","0.4803","-0.9128","-0.00719","-0.157","-2.396","21.736","-101.400","0.8064","33.0","42.02","127","0","0","10.1","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U3 uw60 >= 20 INSTEAD of gross","4b6f8baf-12ae-4e4a-b755-12cde356289e","first","pumpfun_impact","4","0.3","151","151","0","0.4901","-0.3411","-0.00226","-0.056","-0.753","22.736","-101.400","0.9315","38.0","45.21","151","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U4 uw60 >= 30 INSTEAD of gross","1100fe5e-942c-45e5-9124-fcee1286b5a6","first","pumpfun_impact","4","0.3","144","144","0","0.4861","-0.6022","-0.00418","-0.056","-1.394","22.736","-101.400","0.8780","37.0","44.01","144","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"U5 add uw60 >= 10","1cb8a161-3005-4c1f-a366-1b20b38661b5","first","pumpfun_impact","4","0.3","127","127","0","0.4803","-0.9128","-0.00719","-0.157","-2.396","21.736","-101.400","0.8064","33.0","42.02","127","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"W1 uw60 >= 40 instead of gross","f74fa093-f445-4785-88c1-79fe3d702f19","first","pumpfun_impact","4","0.3","140","140","0","0.4929","-0.5141","-0.00367","-0.050","-1.224","22.736","-101.400","0.8918","37.0","43.03","140","0","0","10.2","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"W2 uw60 >= 60 instead of gross","5b8788c6-c17e-4531-a07c-161d2d2889cf","first","pumpfun_impact","4","0.3","121","121","0","0.4711","-0.7141","-0.00590","-0.157","-1.967","21.736","-100.232","0.8085","33.0","40.99","121","0","0","10.1","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"W3 uw60 >= 80 instead of gross","f6f61f33-a97c-4ad9-a52d-946467a3f1b1","first","pumpfun_impact","4","0.3","99","99","0","0.4747","-0.6057","-0.00612","-0.071","-2.039","21.546","-80.031","0.7820","32.0","40.34","99","0","0","10.1","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"W4 add uw60 >= 60","7584c36f-b7a3-4e4d-b7f5-274956ca2e92","first","pumpfun_impact","4","0.3","115","115","0","0.4783","-0.8512","-0.00740","-0.157","-2.467","21.736","-100.232","0.7705","33.0","41.43","115","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
"W5 add uw60 >= 100","34c703f7-d186-455a-b6e0-211ad536b7f5","first","pumpfun_impact","4","0.3","82","82","0","0.4146","-0.9690","-0.01182","-0.819","-3.939","17.601","-80.031","0.5978","32.0","40.10","82","0","0","10","2026-07-29T00:00:00Z","2026-08-09T00:00:00Z"
